artistName,trackName,fall,spring,summer,winter,genres,track_id,danceability,energy,valence,tempo,duration_ms
$NOT,GOSHA,5010,0,0,0,"aesthetic rap, cloud rap, florida rap, underground hip hop",0j8ppsOOawdPCJnSTcXgOy,0.847,0.448,0.488,79.975,120000
$lux,skin,0,0,0,139749,,5SHXikmjPwChjvpVIeYkMf,0.743,0.495,0.512,134.933,176135
21 Savage,Bank Account,1450,0,0,0,"atl hip hop, hip hop, rap",5eqK0tbzUPo2SoeZsov04s,0.884,0.347,0.376,75.016,220307
21 Savage,Ghostface Killers (feat. Travis Scott),1365,0,0,0,"atl hip hop, hip hop, rap",5u6vkDnOyaf8LsteDAj2ub,0.782,0.435,0.242,82.996,268933
21 Savage,Glock In My Lap,1493,0,1068,0,"atl hip hop, hip hop, rap",6pcywuOeGGWeOQzdUyti6k,0.847,0.733,0.202,130.029,193591
21 Savage,Runnin,0,0,882,0,"atl hip hop, hip hop, rap",1PtQJZVZIdWIYdARpZRDFO,0.629,0.545,0.194,108.376,298933
21 Savage,a lot,1066,0,0,0,"atl hip hop, hip hop, rap",2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,0.274,145.972,288624
2Pac,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),246533,425729,253031,220265,"g funk, gangster rap, hip hop, rap, west coast rap",6LwrEZNkvFTOypNwSLjuaJ,0.849,0.904,0.854,99.258,246533
2Pac,All Eyez On Me (ft. Big Syke),615546,15306,287353,475309,"g funk, gangster rap, hip hop, rap, west coast rap",4VQNCzfZ3MdHEwwErNXpBo,0.872,0.723,0.843,93.279,307773
2Pac,Ambitionz Az A Ridah,416636,555669,4422,279623,"g funk, gangster rap, hip hop, rap, west coast rap",5g9lS8deSIxItFBmZRC4vN,0.801,0.91,0.805,87.277,278387
2Pac,Breathin,491188,1197961,735890,518029,"g funk, gangster rap, hip hop, rap, west coast rap",4OafepJy2teCjYJbvFE60J,0.568,0.656,0.364,100.049,198160
2Pac,Can't C Me,504155,351950,142599,0,"g funk, gangster rap, hip hop, rap, west coast rap",7rUchbZxrhF29Q0vYjKEU0,0.795,0.852,0.673,95.44,330760
2Pac,Changes,269764,273495,1813,270106,"g funk, gangster rap, hip hop, rap, west coast rap",7AFASza1mXqntmGtbxXprO,0.669,0.308,0.52,64.934,121887
2Pac,Ghost,0,141085,40082,204180,"g funk, gangster rap, hip hop, rap, west coast rap",5u6vkDnOyaf8LsteDAj2ub,0.782,0.435,0.242,82.996,268933
